year,FIPS,County,State,yield,area,tmax5,tmax6,tmax7,tmax8,tmax9,tmin5,tmin6,tmin7,tmin8,tmin9,tave5,tave6,tave7,tave8,tave9,vpdmax5,vpdmax6,vpdmax7,vpdmax8,vpdmax9,vpdmin5,vpdmin6,vpdmin7,vpdmin8,vpdmin9,vpdave5,vpdave6,vpdave7,vpdave8,vpdave9,precip5,precip6,precip7,precip8,precip9
2004,06021,GLENN,CALIFORNIA,40.0,100,25.8199306574,31.1377647887,33.4651431758,33.1055170228,30.7674937778,9.66361923817,14.2785872347,16.8653677977,15.6671254199,13.4479532707,17.7417749478,22.7081760117,25.1652554868,24.3863212213,22.1077235243,23.2649306557,32.6977009279,35.4072927325,37.5735438559,35.4854532771,2.47484172396,4.79142523584,5.07980705414,5.24812933087,6.38212928278,12.8698861898,18.7445630819,20.2435498933,21.4108365934,20.93379128,6.19341121667,0.908925232208,0.00266355143808,0.0245327102804,0.457850466787
2004,06067,SACRAMENTO,CALIFORNIA,35.91,2200,27.4249274586,31.6064765051,33.5362546033,33.4095843361,31.5812774027,10.821431045,13.5561207991,14.9810976419,15.0963715214,13.5180134249,19.1231792518,22.5812986521,24.2586761226,24.2529779288,22.5496454138,24.1608096941,31.1162729246,34.6638947894,34.8307772151,34.4805503612,1.42901493872,2.41386353583,2.5103052621,2.47541675761,3.6923624194,12.7949123164,16.7650682302,18.5871000257,18.6530969864,19.0864563903,1.96999999651,0.0461744964123,0.0,0.0,6.24986576668
2004,06101,SUTTER,CALIFORNIA,41.81,6200,28.0584173286,32.5040069514,34.4998084275,34.1803763733,31.9720381783,11.6292809099,14.6315381991,15.7985147863,15.5170799776,13.2993923553,19.8438491192,23.5677725752,25.1491616069,24.8487281754,22.6357152668,25.1174966251,33.0098784672,36.1029939626,36.3398824116,34.9012326474,1.63573924614,2.68357291706,2.52225134624,2.35055107615,3.25894792089,13.3766179356,17.8467256921,19.3126226544,19.3452167439,19.0800902841,1.0309374971,0.0423958328514,0.0,0.0,0.353645831152
2004,06113,YOLO,CALIFORNIA,40.0,37300,27.7859927907,32.2382215188,34.1851352504,34.2354117328,32.3923519624,11.0058304941,13.8430414071,15.0526307297,15.0867982349,13.5924989592,19.3959116424,23.0406314629,24.61888299,24.6611049839,22.9924254608,24.1687818075,32.1084182388,35.6138689839,36.5430434765,36.0245797042,1.57524544102,2.72170393246,2.45868763874,2.66024644402,4.27122153495,12.8720136243,17.4150610856,19.0362783113,19.6016449603,20.1479006196,1.38099378423,0.685341607629,0.109192546411,0.0,2.80310558911
2004,06019,FRESNO,CALIFORNIA,43.51,103300,23.4023442126,28.0040491584,31.1582724785,30.3143708622,27.8053340828,7.2081149774,11.7132759791,14.5568574545,13.8268779989,10.7683858499,15.305229595,19.8586625688,22.8575649665,22.0706244306,19.2868599663,23.6190365872,30.2966443211,35.8006260589,34.4696835486,33.0073664804,3.10322436452,4.78790130394,5.98269093649,5.5419344035,5.74518435783,13.3611304759,17.5422728125,20.8916584977,20.005808976,19.3762754191,7.56861452809,1.09835753826,1.21289385369,1.04269273248,0.842256984248
2004,06031,KINGS,CALIFORNIA,37.34,22500,29.4875362065,33.4255102028,36.3617100191,35.3217956102,33.1750203924,12.2552485239,15.7249744952,18.4515503688,17.3906402272,14.044386062,20.8713923652,24.575242349,27.406630194,26.3562179187,23.6097032272,31.6466491232,38.2828809621,44.7569601807,42.3573962925,40.78794217,4.2506319977,5.78112244963,6.68593318092,6.01141047138,5.87824489868,17.9486405604,22.0320017059,25.7214466808,24.1844033819,23.3330935343,0.0173469388439,0.0,0.0,0.0,0.0
2004,06039,MADERA,CALIFORNIA,41.2,1500,24.4869026305,29.2193168634,32.5143020621,31.7643229795,29.0577366067,7.162236163,11.6553785967,14.6889665386,13.9718060496,10.8275504128,15.8245693968,20.4373477301,23.6016343004,22.8680645146,19.9426435097,24.4216686614,32.3960267501,39.2451841824,37.6599422462,34.6418981554,2.80905615261,4.38464094847,6.34929808729,6.01917761915,5.96192901656,13.615362407,18.3903338493,22.7972411349,21.8395599327,20.301913586,7.16749998873,0.59595678987,0.884413583371,0.91216049283,0.98608024554
2004,06047,MERCED,CALIFORNIA,41.09,15600,27.8900842098,31.8705389874,34.4033548381,33.6190595726,31.6976237332,10.6701968281,13.8183084751,16.1943586671,15.6724866045,13.7922146879,19.2801405189,22.8444237313,25.2988567526,24.6457730886,22.7449192105,27.0167042054,33.4322485729,38.5232071884,36.2190060134,35.9671276854,2.44477637948,3.78476158254,4.38590049405,3.49310333825,4.47837966393,14.7307402924,18.6085050777,21.4545538412,19.8560546758,20.2227536747,3.69684746285,0.0,0.0,0.0,2.85328813723
2004,06077,SAN JOAQUIN,CALIFORNIA,40.03,35000,27.384920461,31.1486743605,33.023982444,32.7716961514,31.5031874056,11.026371339,13.4924193527,15.0148996607,14.9007031313,13.4319877115,19.2056459,22.3205468566,24.0194410524,23.8361996414,22.4675875586,23.2730533728,29.0979262682,32.0821198099,32.0967756852,33.1918786487,1.8763966095,2.87397235089,2.65104058097,2.32146127521,3.38885714403,12.5747249911,15.9859493095,17.3665801954,17.2091184802,18.2903678964,3.93562211929,0.332258064188,0.0,0.0,8.14285712837
2004,06099,STANISLAUS,CALIFORNIA,42.07,12400,27.3677077645,31.5451186256,33.7936850653,33.0467605406,31.1115522486,11.137851283,14.0052062143,16.4028963925,16.0751161841,14.6489307923,19.2527795237,22.7751624199,25.0982907289,24.5609383623,22.8802415204,24.4678991177,31.3365593285,35.5110921153,33.7066757928,33.5481002819,2.42815336308,3.7564336167,4.7660647917,3.85113723672,5.60104237094,13.4480262404,17.5464964726,20.1385784535,18.7789065148,19.5745713264,3.4178813473,0.096144067455,0.0,0.0,3.28343220306
2004,39143,SANDUSKY,OHIO,25.76,370,22.9394239759,25.3510952473,27.3515552727,25.2399884918,25.2321012145,11.2512039111,14.1400357053,16.4416301838,14.4340437881,11.9927678551,17.0953139435,19.7455654763,21.8965927283,19.83701614,18.6124345348,13.7638824824,16.5028868993,18.3397465395,14.608715457,16.8818333336,0.671814515564,0.899238094632,1.10289746539,0.315195852236,0.233452381001,7.21784849897,8.70106249697,9.72132200244,7.46195565463,8.55764285731,173.922143128,138.74946411,90.5273213457,88.9528571517,13.2328570918
2004,39051,FULTON,OHIO,33.37,570,22.3517806469,25.0586044447,27.4570838854,24.6798150598,26.0472355609,10.6260430073,13.6065377867,16.0771483953,14.0028602098,11.9188666697,16.4889118271,19.3325711157,21.7671161403,19.3413376348,18.9830511153,12.6977032423,16.0273377583,18.9173333285,14.7106408625,19.2924355554,0.637303225164,0.774879999085,1.16045591233,0.542541934905,0.553742221448,6.66750323371,8.40110887868,10.0388946204,7.62659139869,9.9230888884,174.444399859,112.759066438,101.475200103,87.0241333036,44.5552000751
2004,39069,HENRY,OHIO,33.59,1010,22.6765475107,25.2342522346,27.4836747977,24.835640815,25.8053153141,10.9541412271,13.9874144243,16.3779642497,14.4516041846,12.2957837758,16.8153443689,19.6108333294,21.9308195237,19.6436224998,19.0505495449,13.1035047925,16.186671169,18.566795981,14.2366913581,18.3291216348,0.638025282327,0.848135134022,1.14797297192,0.636957278934,0.617545045035,6.87076503744,8.51740315149,9.85738447647,7.43682431851,9.4733333399,162.629189243,140.207567545,110.394729829,135.979054353,40.2378378798
2004,39137,PUTNAM,OHIO,28.83,2030,22.9595311823,25.2583244417,27.1082967656,25.0084258147,25.6424266942,11.5665591391,14.2849422164,16.387010736,14.4980559253,12.6662044479,17.2630451607,19.7716333291,21.7476537508,19.75324087,19.154315571,13.4437333382,15.5813333433,17.0398795643,13.9764989221,17.3645288881,0.712718279431,0.863351110402,0.871066665871,0.577810752324,0.623408888715,7.07822580881,8.22234222685,8.95547311507,7.27715483722,8.99396888839,201.956800068,147.022666645,121.670266444,135.654266717,44.656666733
