,year,FIPS,County,State,yield,area,tmax5,tmax6,tmax7,tmax8,tmax9,tmin5,tmin6,tmin7,tmin8,tmin9,tave5,tave6,tave7,tave8,tave9,vpdmax5,vpdmax6,vpdmax7,vpdmax8,vpdmax9,vpdmin5,vpdmin6,vpdmin7,vpdmin8,vpdmin9,vpdave5,vpdave6,vpdave7,vpdave8,vpdave9,precip5,precip6,precip7,precip8,precip9,tave56789,vpdave56789,precip56789,precip_gs_mean,precip_gs_std,precip_gs_z,yield_ana
10,2016,6011,COLUSA,CALIFORNIA,53.26,14400,26.004418287199996,32.1021622573,34.1899439914,34.0883832051,31.271463016,12.043881243,14.886711354000001,16.178578875899998,15.6182710028,13.3251031158,19.0241497651,23.4944368057,25.184261433699998,24.8533271039,22.2982830659,24.6028333883,39.1172005563,42.135241764899995,42.256092883200004,36.0846662854,2.86359677371,5.29658973927,5.950092875909999,5.70863895454,5.01181025536,13.733215080999999,22.2068951478,24.0426673204,23.982365918899998,20.5482382704,20.2366153882,3.3489121059599998,0.0,0.0,0.000307692312073,22.97089163486,20.991285867025,23.585835186472075,26.300424914274018,23.71049017320932,-0.11448897546914408,4.901069781413533
11,2014,6011,COLUSA,CALIFORNIA,48.94,16000,28.6928500663,32.7916007138,35.1169815669,33.2111449553,31.742532963600002,11.6066430356,14.7455311321,17.647114503599997,16.0650762124,14.3475897415,20.149746550899998,23.7685659229,26.3820480352,24.6381105838,23.0450613526,31.926024452800004,39.186197815199996,43.995202040500004,38.599119101,36.7236629985,3.97623892323,5.00694139672,6.43568947169,4.47204714917,4.19380219976,17.951131688,22.096569606,25.215445756100003,21.535583125100004,20.4587325991,3.1227472574799995,0.14494505481699999,0.00109890111528,1.6784065887200001,17.3389560363,23.59670648908,21.6996825438,22.28615383843228,26.300424914274018,23.71049017320932,-0.16930358868655931,3.6873023638012796
12,2013,6011,COLUSA,CALIFORNIA,51.92,12000,27.2301967547,31.745932239200002,35.800326118499996,32.615180790100005,29.7318424927,11.5456504703,14.672476182999999,17.1532701261,15.0194062375,12.7540238014,19.3879236125,23.2092042111,26.4767981223,23.817293513800003,21.242933147000002,26.7539152708,36.339534768200004,44.858821346599996,36.139209501399996,31.682280229699998,3.6494292790900005,4.15440110166,5.63842963625,3.6921269049000003,3.0942380934500004,15.2016722749,20.2469679349,25.2486254914,19.9156682031,17.3882591616,5.2329670219999995,8.7169780235,0.133406593065,0.025824175687000003,14.444835191600001,22.826830521340003,20.153233476075,28.554011005851997,26.300424914274018,23.71049017320932,0.09504595118511405,8.13940065859235
13,2012,6011,COLUSA,CALIFORNIA,44.62,13000,27.8857302331,30.668954195,33.3225859656,35.5234934578,32.9172655375,10.771637713399999,13.4335531082,15.1791527772,16.2038833668,13.414756412200001,19.3286839732,22.0512536516,24.2508693714,25.8636884123,23.1660109748,28.8356416175,35.4538589664,39.3736299295,45.8052091818,39.9130201603,3.4606274390599996,4.63282783958,4.58640198384,6.47873803227,5.25030586036,16.148134528299998,20.043343402999998,21.9800159567,26.141973606999997,22.5816630104,2.2013186799,2.95236262636,0.0,0.0,0.0,22.93210127666,21.07836687375,5.153681306259999,26.300424914274018,23.71049017320932,-0.8918728990220498,2.257486955703932
14,2011,6011,COLUSA,CALIFORNIA,44.42,12000,23.119620690700003,27.7034194032,32.4509092506,33.6089099521,33.731835160799996,8.04893300996,13.324617217,15.6501152128,14.9164959205,14.7249780172,15.5842768503,20.5140183101,24.0505122317,24.262702936300002,24.228406589000002,19.7226550928,26.103855310500002,33.5478908192,38.2540677117,40.5214304219,1.7624937966900003,2.84971978017,3.23172988443,4.19371144868,4.96896703354,10.7425744447,14.4767875453,18.3898103518,21.223889580199998,22.7451987277,36.1109340837,47.4713736041,0.0,0.0,0.184780219734,21.72798338348,16.2082654805,83.767087907534,26.300424914274018,23.71049017320932,2.4236809350399704,3.4215612552233523
15,2010,6011,COLUSA,CALIFORNIA,40.5,14000,22.4109305348,30.2606446898,34.4239276973,32.4873112446,31.3768168366,7.43677242604,14.1218388272,15.9542360875,13.8735377497,12.8799010952,14.9238514804,22.1912417585,25.189081892399997,23.1804244971,22.128358965900002,19.4709198748,31.2779597046,35.081806119899994,32.9306132614,35.7248534832,1.7732293514,3.54057143011,4.04532790008,3.1026816743900003,3.7143260056,10.622074613099999,17.4092655673,19.56356701,18.0166474679,19.7195897444,24.7849999992,1.13148351786,0.0,0.0,7.93274727271,21.52259171886,16.402888664575002,33.849230789770004,26.300424914274018,23.71049017320932,0.31837409603726563,0.8116235571214929
16,2004,6011,COLUSA,CALIFORNIA,43.02,20500,26.816531371700002,31.8073736231,33.9856345337,33.6691917749,31.7276629912,10.398170862899999,14.060060441900001,16.0247571723,15.1853243525,13.0826666601,18.6073511173,22.9337170325,25.005195853000004,24.4272580637,22.4051648256,24.032231469099997,33.219860823299996,36.571458716500004,38.022052457600005,36.508924922199995,1.8612974116699998,3.63881135569,3.97724920269,3.8135040759400005,4.95144872226,12.946764440399999,18.4293360895,20.2743539596,20.9177782668,20.7301868222,2.20923077527,2.1782966991099997,0.0970879127118,0.0,1.9415934104799997,22.67573737842,18.142058189075,6.426208797571799,26.300424914274018,23.71049017320932,-0.8382035112525114,10.0577454184345
17,1991,6011,COLUSA,CALIFORNIA,35.15,20400,23.5297961649,28.899139194299998,34.7595498214,31.7238886952,33.8679395651,9.10837823262,12.505633698199999,16.7435129432,13.7009305198,14.0338443226,16.3190871987,20.7023864462,25.7515313823,22.7124096075,23.9508919439,18.708927676400002,26.1463479792,35.5806912363,30.9870950062,37.445584250900005,1.7039542704799997,2.6789706988099997,3.74976249839,3.16534207727,4.551117217790001,10.2064409734,14.412659339000001,19.6652268674,17.0762185417,20.9983507343,9.06142857448,13.564285717799999,0.0125274726978,0.093626373601,0.00835164834919,21.88726131572,15.340136430375,22.740219786927995,26.300424914274018,23.71049017320932,-0.1501531643309816,10.090527744969584
18,2017,6067,SACRAMENTO,CALIFORNIA,46.7,1000,27.275162358899998,31.6531767591,35.3954427384,34.0954782292,30.8695047135,11.290320416199998,14.704482103299998,15.849988749100001,16.258902365,14.835481883499998,19.2827413875,23.1788294312,25.6227157438,25.1771902971,22.8524932985,25.7514135006,34.284008729499995,45.5091445825,38.8240082512,33.4662754025,2.2409757515599997,3.34642461131,4.88784736746,4.08617557746,3.9720823260600002,13.9961946261,18.815216670399998,25.198495975,21.455091914300002,18.7191788643,1.69997986512,5.950624165750001,0.0,0.0,0.0,23.222794031619998,19.86624979645,7.650604030870001,14.160526846794184,10.118232746343457,-0.6433853597879283,-3.2930645062122466
19,2016,6067,SACRAMENTO,CALIFORNIA,46.81,2100,26.570723090799998,32.3535250623,33.844673528,32.9497008046,30.9125579604,11.938444255999999,14.197474709200002,15.088292481600002,14.341523710799999,12.8985391525,19.2545836734,23.2754998858,24.4664830048,23.645612257699998,21.9055485564,24.381024239699997,38.7019143175,41.7030684159,37.571549696999995,33.9009062784,2.24735570238,3.8240335575,4.49279367891,3.3693935917699998,3.19683691022,13.314189971,21.2629739375,23.0979310474,20.4704716444,18.5488715943,7.7907248637899995,0.0,0.0,0.0,0.00079865770527,22.509545475619994,19.536391650074997,7.79152352149527,14.160526846794184,10.118232746343457,-0.6294580768168784,-1.548930218586463
